,Product,Ingredients,Rating
10,Moisture Surge Pop Triple Lip Balm,"
	Ingredients

	
		Octyldodecanol, Synthetic Fluorphlogopite, Pentaerythrityl Adipate/Caprate/Caprylate/Heptanoate, Petrolatum, Bis-Diglyceryl Polyacyladipate-2, Polyethylene, Hydrogenated Dilinoleyl Alcohol, Stearoxymethicone/Dimethicone Copolymer, Silica, Polybutene, Microcrystalline WaxCera MicrocristallinaCire Microcristalline, Ethylhexyl Palmitate, Calcium Sodium Borosilicate, Sodium Hyaluronate, Butyrospermum Parkii (Shea Butter), Polyglyceryl-4 Isostearate, Lauryl PCA, Aloe Barbadensis Leaf Extract, Cocos Nucifera (Coconut) Oil, Olea Europaea (Olive) Fruit Extract, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Cetyl PEG/PPG-10/1 Dimethicone, Tocopheryl Acetate, Cholesterol, Glycerin, Glyceryl Stearate, Caprylyl Glycol, Linoleic Acid, C20-40 Pareth-10, Butylene Glycol, WaterAquaEau, Hydroxyethylcellulose, Ethylcellulose, Methyl Glucose Sesquistearate, Triticum Vulgare (Wheat) Bran Extract, Hexylene Glycol, Triethoxycaprylylsilane, Palmitic Acid, Oleic Acid, Silica Dimethyl Silylate, Tin Oxide, Potassium Sulfate, Hexyl Laurate, Calcium Aluminum Borosilicate, Alumina, Carbomer, Polysorbate 20, Lauryl Methacrylate/Glycol Dimethacrylate Crosspolymer, Phenoxyethanol. May Contain: Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499), Red 7 Lake (CI 15850), Red 28 Lake (CI 45410), Blue 1 Lake (CI 42090), Red 33 Lake (CI 17200), Yellow 5 Lake (CI 19140), Red 27 (CI 45410), Manganese Violet (CI 77742), Red 22 Lake (CI 45380), Red 30 Lake (CI 73360), Carmine (CI 75470), Bismuth Oxychloride (CI 77163), Red 6 (CI 15850), Yellow 6 Lake (CI 15985), Orange 5 (CI 45370), Red 21 (CI 45380).	
","<span class=""product-rating rating stars-4""></span>"
11,Hydrium Watery Toner,"
	Ingredients

	
		Water, Butylene Glycol, Glycerin, 1,2-Hexanediol, Allantoin, Panthenol, Sodium Hyaluronate, Pentylene Glycol, Sodium Hyaluronate Crosspolymer, Hydrolyzed Hyaluronic Acid, Hyaluronic Acid, Ethylhexylglycerin, Hydrolyzed Sodium Hyaluronate.	
","<span class=""product-rating rating stars-4""></span>"
12,Hydrium Triple Hyaluronic Moisture Ampoule,"
	Ingredients

	
		Water, Glycerin, Butylene Glycol, Dipropylene Glycol, 1,2-Hexanediol, Methyl Gluceth-10, Sodium Hyaluronate, Carbomer, Panthenol, Tromethamine, Ethylhexylglycerin, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Gluconolactone, Lactobionic Acid.	
","<span class=""product-rating rating stars-4""></span>"
13,Hydrium Centella Asiatica Aqua Soothing Ampoule,"
	Ingredients

	
		Water, Centella Asiatica Extract, Dipropylene Glycol, Glycerin, 1,2-Hexanediol, Betaine, Chondrus Crispus Extract, Saccharum Officinarum (Sugarcane) Extract, Pentylene Glycol, Octanediol, Ammonium Acryloyldimethyltaurate/VP Copolymer, Xanthan Gum, Ethylhexylglycerin, Allantoin, Madecassoside, Panthenol.	
","<span class=""product-rating rating stars-4""></span>"
14,Full Fit Propolis Synergy Toner,"
	Ingredients

	
		Propolis Extract, Honey Extract, Butylene Glycol, 1,2-Hexanediol, Glycerin, Betaine, Cassia Obtusifolia Seed Extract, Panthenol, Polyglyceryl-10 Laurate, Polyglyceryl-10 Myristate, Ethylhexylglycerin, Sodium Hyaluronate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Caprylic/Capric Triglyceride.	
","<span class=""product-rating rating stars-4""></span>"
15,Weightless Oil-Free Moisturizer,"
	Ingredients

	
		Aqua (Water, Eau), Cyclopentasiloxane, Dimethicone, Cetearyl Alcohol, Butylene Glycol, Caprylic/Capric Triglyceride, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Hyaluronate, Chondrus Crispus Extract, Codium Tomentosum Extract, Hydrolyzed Collagen, Isohexadecane, Glyceryl Behenate, Dimethicone Crosspolymer-3, Ceteareth-20, Xanthan Gum, Polysorbate 80, Phenoxyethanol, Ethylhexylglycerin.	
","<span class=""product-rating rating stars-4""></span>"
16,Sake Toning Essence,"
	Ingredients

	
		Aqua (Water, Eau), Saccharomyces Ferment Filtrate, Glycerin, Rosa Canina Fruit Extract, Butylene Glycol, Niacinamide, Phenoxyethanol, Isoceteth-20, Xanthan Gum, Aminopropyl Ascorbyl Phosphate, Tetrasodium Glutamate Diacetate, Tocopheryl Acetate (Vitamin E), Natural Fragrance, Camellia Sinensis (Green Tea) Japanese, Ethylhexylglycerin, Citric Acid.	
","<span class=""product-rating rating stars-4""></span>"
17,Texture Reform,"
	Ingredients

	
		Aqua (Water, Eau), Aloe Barbadensis Leaf Juice, Lactic Acid, Retinyl Palmitate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Isohexadecane, Polysorbate 60, Potassium Hydroxide, Propylene Glycol, Glycereth 26, Polyacrylate Crosspolymer-6, Phenethyl Alcohol, Caprylyl Glycol, Ethylhexyl Glycerin, Sodium PCA, Coffea Arabica (Coffee) Fruit Extract, Betaglucan, Hydrolyzed Soybean Palmitate, Acetyl Glucosamine, Niacinamide.	
","<span class=""product-rating rating stars-4""></span>"
18,50 MG CBD Moisturizer,"
	Ingredients

	
		Water, Caprylic/Capric Triglyceride, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Glycerin, Polyacrylate Crosspolymer-6, Cannabidiol, PCR Hemp Oil, Cannabis Sativa (Hemp) Seed Oil, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Sodium Hyaluronate, Cucumis Sativus (Cucumber) Fruit Extract, Disodium EDTA, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Butylene Glycol, Carbomer, Polysorbate 20, Fragrance, Phenoxyethanol, Ethylhexylglycerin.	
","<span class=""product-rating rating stars-4""></span>"
19,Water Drench Hyaluronic Hydrating Moisturizer SPF 45,"
	Ingredients

	
		Active Ingredients: Avobenzone 3%, Homosalate 5%, Octisalate 5%, Octocrylene 10%; Inactive Ingredients: Water/Aqua/Eau, Polymethylsilsesquioxane, Glycerin, Dipropylene Glycol, Dimethicone, Argania Spinosa Kernel Oil, Tocopheryl Acetate, Yeast Extract, Cyclopentasiloxane, Cyclohexasiloxane, Phenoxyethanol, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Isododecane, Dimethicone/PEG-10/15 Crosspolymer, Saccharide Isomerate, Methyl Gluceth-20, Sodium Chloride, Sodium Hyaluronate, Bisabolol, PEG-15/Lauryl Dimethicone Crosspolymer, Sodium PCA, Propylene Glycol, Ceteareth-25, Sodium Benzoate, Potassium Sorbate, Sodium Citrate, Citric Acid, Sambucus Nigra Fruit Extract, Cetyl Alcohol, Saccharomyces/Magnesium Ferment, Hydrolyzed Silk, Behenic Acid, Ceramide NP, Cholesterol, Ethylhexylglycerin, Tocopherol, Ceramide NS, Saccharomyces/Iron Ferment, Saccharomyces/Copper Ferment, Saccharomyces/Silicon Ferment, Saccharomyces/Zinc Ferment, Butylene Glycol, Ceramide AP, Ceramide EOP, Ceramide EOS, Olea Europaea (Olive) Leaf Extract, Caprooyl Phytosphingosine, Caprooyl Sphingosine, Disodium EDTA, Ascorbyl Palmitate, Mica (CI 77019).	
","<span class=""product-rating rating stars-4""></span>"
20,15% Vitamin C and EGF Serum,"
	Ingredients

	
		Aqua (Water/Eau), Ascorbyl Glucoside, Sodium Hydroxide, PEG-40 Hydrogenated Castor Oil, Phenoxyethanol, Benzyl Alcohol, Butylene Glycol, Xanthan Gum, Ethylhexylglycerin, Sodium Metabisulfite, Dehydroacetic Acid, Phytic Acid, Oligopeptide-1.	
","<span class=""product-rating rating stars-4""></span>"
21,Powerful-Strength Line-Reducing & Dark Circle-Diminishing Vitamin C Eye Serum,"
	Ingredients

	
		Propylene Glycol, Dimethicone, Glycerin, Ascorbic Acid, Dimethicone Crosspolymer, Cetyl PEG/PPG-10/1 Dimethicone, Cyclohexasiloxane, Water, Hydroxyethylpiperazine Ethane Sulfonic Acid, Lauroyl Lysine, Aluminum Starch Octenylsuccinate, Polysilicone-11, CI 77891/Titanium Dioxide, Adenosine, Hydrolyzed Hyaluronic Acid, Steareth-20, Chlorhexidine Digluconate, N-Hydroxysuccinimide, Sodium Citrate, Potassium Sorbate, Palmitoyl Tripeptide-1, Chrysin, Pentaerythrityl Tetra-di-t-Butyl Hydroxyhydro-cinnamate, Palmitoyl Tetrapeptide-7, Citric Acid, Biotin.	
","<span class=""product-rating rating stars-4""></span>"
22,Glowy Makeup Serum,"
	Ingredients

	
		Water / Aqua / Eau, Glycerin, PEG/PPG-17/6 Copolymer, Diglycerin, Methyl Gluceth-20, Propanediol, Dimethicone, 1,2-Hexanediol, Betaine, Undecane, Acrylates/C10-30 Alkylacrylate Crosspolymer, Tromethamine, Caprylylmethicone, Tridecane, Saccharide Hydrolysate, Fructooligosaccharides, Silica Dimethyl Silylate, Mica, Xanthan Gum, C30-45 Alkyl Cetearyl Dimethicone Crosspolymer, Pullulan, Titanium Dioxide (Ci77891), Eclipta Prostrata Extract, Olea Europaea (Olive) Fruit Oil, Lauryl Dimethicone, Synthetic Fluorphlogopite, Melia Azadirachta Leaf Extract, Carmine (Ci75470), Diamond Powder, Caesalpinia Spinosa Fruit Extract, Melia Azadirachta Flower Extract, Moringa Oleifera Seed Oil, Butylene Glycol, Coccinia Indica Fruit Extract, Kappaphycus Alvarezii Extract, Tocopherol, Tin Oxide, Aloe Barbadensis Flower Extract, Solanum Melongena (Eggplant) Fruit Extract, Caprylic/Capric Triglyceride, Simmondsia Chinensis (Jojoba) Seed Oil, Phosphatidylcholine, Corallina Officinalis Extract, Ocimum Sanctum Leaf Extract, Curcuma Longa (Turmeric) Root Extract, Ceramide NP, Glycine Serine, Glutamic Acid, Lysine, Alanine, Proline, Threonine.	
","<span class=""product-rating rating stars-4""></span>"
23,Superdefense City Block SPF 50+ Daily Energy + Face Protector,"
	Ingredients

	
		Active Ingredients: Octinoxate 5.0%, Titanium Dioxide 3.2%, Zinc Oxide 3.6%. Ingredients: WaterAquaEau, Dimethicone, Butyloctyl Salicylate, Isononyl Isononanoate, Neopentyl Glycol Diheptanoate, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Butylene Glycol, Polydecene, Polyhydroxystearic Acid, Ethylhexyl Methoxycrylene, Hydrated Silica, Dimethicone/Vinyl Dimethicone Crosspolymer, Trimethylsiloxysilicate, Hydrolyzed Wheat Protein/PVP Crosspolymer, Hydroxyapatite, Cetyl PEG/PPG-10/1 Dimethicone, Dimethicone/PEG-10/15 Crosspolymer, Sodium RNA, Quaternium-90 Bentonite, Sodium Hyaluronate, Dimethicone Crosspolymer-3, Styrene/Acrylates Copolymer, Sodium Chloride, Caprylyl Glycol, PEG-8 Laurate, Propylene Carbonate, Silica, Tocopherol, Sodium Citrate, Disodium EDTA, BHT, Phenoxyethanol, Potassium Sorbate, Iron Oxides (Ci 77491), Iron Oxides (Ci 77492).	
","<span class=""product-rating rating stars-4""></span>"
24,Lip Butter Balm,"
	Ingredients

	
		Hytosteryl / Isostearyl / Cetyl / Stearyl / Behenyl Dimer Dilinoleate, Diisostearyl Malate, Hydrogenated Polyisobutene, Polybutene, Hydrogenated Poly(C6-14 Olefin), Butyrospermum Parkii (Shea) Butter, Microcrystalline Wax / Cera Microcristallina / Cire Microcrystalline, Octyldodecanol, Synthetic Wax, Disteardimonium Hectorite, Polyglyceryl-2 Diisostearate, Mica, Vanillin, Astrocaryum Murumuru Seed Butter, Propylene Carbonate, Tocopherol, Sodium Hyaluronate.	
","<span class=""product-rating rating stars-4""></span>"
25,Baby Cheeks All-in-One Hydrating Milk Toner,"
	Ingredients

	
		Water/Aqua/Eau, Propanediol, Cocos Nucifera (Coconut) Water, Glycerin, Cetearyl Isononanoate, Dicaprylyl Carbonate, Polyglyceryl-10 Oleate, Phyllostachys Bambusoides Leaf Extract, Algae Extract, Leuconostoc/Radish Root Ferment Filtrate, Tocopheryl Acetate, Polyglyceryl-2 Oleate, Phenoxyethanol, Ethylhexylglycerin, Disodium EDTA, Xanthan Gum.	
","<span class=""product-rating rating stars-4""></span>"
26,Restoring Antioxidant Face Mask with Green Tea,"
	Ingredients

	
		Water, Ricinus Communis (Castor) Seed Oil, Glycerin, Cetyl Alcohol, Stearyl Alcohol, Cocos Nucifera (Coconut) Oil, Glyceryl Stearate, Propanediol, Beeswax, Stearic Acid, Camellia Sinensis Leaf Extract, Nelumbo Nucifera Extract, Helianthus Annuus (Sunflower) Seed Wax, Theobroma Cacao (Cocoa) Seed Butter, Butyrospermum Parkii (Shea) Butter, Persea Gratissima (Avocado) Oil, Polymnia Sonchifolia Root Juice, Salvia Sclarea (Clary) Extract, Glycine Soja (Soybean) Oil, Xanthan Gum, Lecithin, Alpha-Glucan Oligosaccharide, Sodium PCA, Potassium Stearate, Zinc PCA, Maltodextrin, Tocopherol, Lactobacillus, Sodium Phylate, Ascorbic Acid, Citric Acid, Fragrance, Potassium Sorbate, Sodium Benzoate, Phenoxyethanol, Linalool.	
","<span class=""product-rating rating stars-4""></span>"
27,Bright Idea Vitamin C + Tri-Peptide Collagen Protecting & Brightening Serum,"
	Ingredients

	
		Water (Aqua) (Eau), Glycerin, 3-O-Ethyl Ascorbic Acid, Propanediol, Palmitoyl Tripeptide-5, Glycyrrhiza Glabra (Licorice) Root Extract, Squalane, Tocopherol, Pseudozyma Epicola/Camellia Japonica Seed Oil Ferment Extract Filtrate, Pseudozyma Epicola/Camellia Sinensis Seed Oil/Glucose/Malt Extract/Soybean Flour/Yeast Extract Ferment Filtrate, Glycine Soja (Soybean) Oil, Sodium Hyaluronate, Lecithin, Bisabolol, Pullulan, Xanthan Gum, Sclerotium Gum, Acacia Senegal Gum, Hydroxyacetophenone, Caprylyl Glycol, Hydrogenated Farnesene, Polyacrylate Crosspolymer-6, Hydroxyethyl Acrylate/ Sodium Acryloyldimethyl Taurate Copolymer, Polyglyceryl-4 Laurate/Succinate, Glyceryl Stearate, C14-22 Alcohols, C12-20 Alkyl Glucoside, Silica, Dimethyl Isosorbide, Hexylene Glycol, Ethoxydiglycol, Sodium Citrate, Tetrasodium Glutamate Diacetate, Phenoxyethanol, Ethylhexylglycerin, Citric Acid, Fragrance (Parfum), Limonene.	
","<span class=""product-rating rating stars-4""></span>"
28,Squalane Facial Oil,"
	Ingredients

	
		Squalane Oil (Olive Derived).	
","<span class=""product-rating rating stars-4""></span>"
29,The Serum Stick,"
	Ingredients

	
		Squalane, Oryza Sativa (Rice) Bran Wax, Cera Alba/Beeswax/Cire D’ Abeille, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Melissa Officinalis Leaf Extract, Betaphycus Gelatinum Extract, Sodium Hyaluronate, Tocopherol, Aqua/Water/Eau, Pentylene Glycol, Butylene Glycol, Propanediol, Ethylhexylglycerin, Phenoxyethanol.	
","<span class=""product-rating rating stars-4""></span>"
30,Sensibio Tonique Soothing Moisturizing Toning Lotion,"
	Ingredients

	
		Aqua/Water/Eau, Glycerin, Xylitol, Polysorbate 20, Mannitol, Rhamnose, Fructooligosaccharides, Cucumis Sativus (Cucumber) Fruit Extract, PEG-40 Hydrogenated Castor Oil, Allantoin, Propylene Glycol, Disodium EDTA, Cetrimonium Bromide, Sodium Hydroxide, Citric Acid.	
","<span class=""product-rating rating stars-4""></span>"
31,CBD Nourishing Body Cream,"
	Ingredients

	
		Distilled Water, Bees Wax, Glycerin, Stearic Acid, Emulsifying Wax, Lecithin, Polyglyceryl Oleate, Aloe Vera, Vitamin E, Myristic Acid, Grapeseed Oil, Rose Hip Oil, Hemp Seed Oil, CBD Isolate (100mg), Manuka Honey (Active 16+), Hyaluronic Acid, Potassium Sorbate, Xanthan Gum, Grapefruit Extract.	
","<span class=""product-rating rating stars-4""></span>"
32,CBD Hydrating Lip Balm,"
	Ingredients

	
		Bees Wax, Grapeseed Oil, Shea Butter, Hemp Seed Oil, Orange Peel Butter, Vitamin E, Rose Hip Oil, Coconut Oil, Distilled Water, Potassium Sorbate, Grapefruit Extract, Manuka Honey, CBD Isolate (5mg).	
","<span class=""product-rating rating stars-4""></span>"
33,Lip Balm,"
	Ingredients

	
		Cocos Nucifera (Coconut) Oil, Beeswax, Argania Spinosa (Argan) Kernel Oil, Butyrospermum Parkii (Shea) Butter, Simmondsia Chinensis (Jojoba) Seed Oil, Olea Europaea (Olive) Fruit Oil, Anthemis Nobilis (Chamomile) Flower Oil, Citrus Sinensis (Orange) Peel Oil, Tocopherol, Honey.	
","<span class=""product-rating rating stars-4""></span>"
34,Moisturizer Replenish + Protect,"
	Ingredients

	
		Water/Aqua/Eau, Glycerin, Aloe Barbadensis Leaf Juice, Rosa Damascena Flower Water, Simmondsia Chinensis (Jojoba) Seed Oil, Caprylic/Capric Triglyceride, Cetearyl Olivate, Pentylene Glycol, Dicaprylyl Ether, Butyrospermum Parkii (Shea) Butter, Glyceryl Stearate, Hydrogenated Vegetable Glycerides, Sorbitan Olivate, Cocos Nucifera (Coconut) Oil, Theobroma Cacao (Cocoa) Seed Butter, Palmitoyl Tripeptide-38, Bakuchiol, Sodium Hyaluronate, Moringa Oleifera Seed Oil, Rosa Canina Fruit Oil, Moringa Oleifera Leaf Extract, Squalane, Macrocystis Pyrifera (Kelp) Extract, Citrus Limon (Lemon) Peel Extract, Candelilla Cera/Euphorbia Cerifera (Candelilla) Wax/Cire de Candelilla, Glyceryl Caprylate, Xanthan Gum, Sodium Hydroxide, Citric Acid, Caprylhydroxamic Acid, Olive Oil Decyl Esters, Hydroxypropyl Cyclodextrin, Tocopherol, Potassium Sorbate, Sodium Benzoate.	
","<span class=""product-rating rating stars-4""></span>"
35,Copper Peptide Serum,"
	Ingredients

	
		Aqua (Water, Eau), Propanediol, Glycerin, Butylene Glycol, Xanthan Gum, Sodium Benzoate, Potassium Sorbate, Disodium EDTA, Carbomer, Polysorbate 20, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Caprylyl Glycol, Bis (Tripeptide-1) Copper Acetate, Ethylhexylglycerin, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7.	
","<span class=""product-rating rating stars-4""></span>"
36,Found the Light Powder with Vitamin C,"
	Ingredients

	
		Tapioca Starch, Aluminum Starch Octenylsuccinate, Water, 3-O-Ethyl Ascorbic Acid, Sodium Benzoate.	
","<span class=""product-rating rating stars-4""></span>"
37,Barrier+ Triple Lipid-Peptide Lotion,"
	Ingredients

	
		Water/Eau, Dicaprylyl Carbonate, Caprylic/Capric Triglyceride, Glycerin, Propanediol, Caprylyl Caprylate/Caprate, Jojoba Oil/Macadamia Seed Oil Esters, Behenyl Alcohol, Glyceryl Stearate, Butyrospermum Parkii (Shea) Butter, Lecithin, Stearyl Alcohol, Nylon-11, Dicaprylyl Ether, Sodium Hyaluronate, Oryza Sativa (Rice) Bran Extract, Glycine Soja (Soybean) Seed Extract, Squalene, Hydrolyzed Rice Protein, Hydrogenated Vegetable Oil, Glycine Soja (Soybean) Sterols, Phytosteryl Canola Glycerides, Chondrus Crispus Extract, Phytosteryl Macadamiate, Phytosterols, Aloe Barbadensis Leaf Juice, Rosmarinus Officinalis (Rosemary) Leaf Extract, Helianthus Annuus (Sunflower) Extract, Ethylhexylglycerin, Tocopherol, Dilinoleic Acid/Propanediol Copolymer, Pentylene Glycol, Trisodium Ethylenediamine Disuccinate, Gluconolactone, Sodium Benzoate, Xanthan Gum, Phenoxyethanol, Potassium Sorbate, Citric Acid.	
","<span class=""product-rating rating stars-4""></span>"
